nullNew check-in desk Desk1 opened.
New check-in desk Desk2 opened.
Passenger Jamie Hogg joined queue
Passenger Louise Edwards joined queue
Passenger Michael Tonyoli joined queue
Passenger Bruno Hogg joined queue
Passenger Bruno Tonyoli joined queue
Passenger Louise Cassidy joined queue
Passenger Hermione Tonyoli joined queue
Passenger Bruno Reilly joined queue
Passenger Herbert Hughes joined queue
Passenger Herman Edwards joined queue
Passenger Eilidh Swartz joined queue
Passenger Jerry Hughes joined queue
Passenger Theodore Edwards joined queue
Passenger Jerry Cassidy joined queue
Passenger Tatiana Hogg joined queue
Passenger Tatiana Tonyoli joined queue
Passenger Theodore Cassidy joined queue
Desk2: Currently checking in Jamie Hogg
Desk1: Currently checking in Louise Edwards
Desk2: Finished checking in Jamie Hogg, required £0.0 luggage fee
Desk1: Finished checking in Louise Edwards, required £25.0 luggage fee
Passenger Elizabeth Tonyoli joined queue
Passenger Chloe Hogg joined queue
Passenger Chloe Hogg joined queue
Passenger Herbert Cassidy joined queue
Passenger Jamie Tonyoli joined queue
Passenger Theodore Hogg joined queue
Passenger Hermione Edwards joined queue
Passenger Louise Reilly joined queue
Passenger Jerry Tonyoli joined queue
Passenger Louise Reilly joined queue
Passenger Ryan Hogg joined queue
Passenger Louise Cassidy joined queue
Passenger Jamie Gorse joined queue
Passenger Jerry Edwards joined queue
Passenger Eilidh Feasby joined queue
Passenger Ryan Feasby joined queue
Passenger Ryan Edwards joined queue
Passenger Bruno Gorse joined queue
Passenger Ryan Hogg joined queue
Passenger Herman Swartz joined queue
Passenger Hermione Reilly joined queue
Passenger Tatiana Tonyoli joined queue
Passenger Bruno Edwards joined queue
Passenger Bruno Hogg joined queue
Passenger Eilidh Reilly joined queue
Passenger Chloe Hogg joined queue
Passenger Theodore Cassidy joined queue
Passenger Tatiana Reilly joined queue
Passenger Jamie Gorse joined queue
Passenger Herman Gorse joined queue
Passenger Hermione Marshall joined queue
Passenger Jerry Cassidy joined queue
Passenger Hermione Edwards joined queue
Passenger Louise Hughes joined queue
Passenger Herbert Marshall joined queue
Passenger Tatiana Hogg joined queue
Passenger Herman Reilly joined queue
Passenger Eilidh Hogg joined queue
Passenger Hermione Reilly joined queue
Passenger Eilidh Tonyoli joined queue
Passenger Jamie Reilly joined queue
Passenger Herman McKay joined queue
Passenger Herman Reilly joined queue
Passenger Louise Marshall joined queue
Passenger Elizabeth Reilly joined queue
Passenger Eilidh Hogg joined queue
Passenger Chloe Cassidy joined queue
Passenger Michael McKay joined queue
Passenger Herbert Cassidy joined queue
Passenger Ryan Gorse joined queue
Passenger Theodore Reilly joined queue
